"ISLAND","SITE","LATITUDE","LONGITUDE","WavePower"
"Tau","TAU-00676",-14.215282,-169.483875,36797.4506425
"Tau","TAU-00637",-14.21393,-169.47638,37208.60065
"Tau","TAU-00654",-14.216158,-169.500079,34350.2506
"Ofu & Olosega","OFU-00652",-14.1792636,-169.6280905,80844.6513833333
"Ofu & Olosega","OFU-00686",-14.173137,-169.642443,87435.0764825
"Ofu & Olosega","OFU-00715",-14.162101,-169.607308,83808.863945
"Ofu & Olosega","OFU-00694",-14.17849355,-169.6054281,103043.40175
"Ofu & Olosega","OFU-00700",-14.16316138,-169.6225929,37762.20066
"Ofu & Olosega","OFU-00720",-14.153077,-169.616097,63924.75114
"Ofu & Olosega","OFU-00761",-14.163522,-169.624126,38159.5006666667
"Ofu & Olosega","OFU-00751",-14.16216427,-169.6080393,73931.701265
"Tau","TAU-00618",-14.25398231,-169.4438187,122333.2521
